_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
_________________________________________________________________
|              0|           -500|           -500|              0|
|              1|       -399.845|           -500|              0|
|              2|       -319.722|           -500|              0|
|              3|       -255.623|           -500|              0|
|              4|       -204.343|           -500|              0|
|              5|        -163.32|           -500|              0|
|              6|       -130.501|           -500|              0|
|              7|       -104.246|           -500|              0|
|              8|       -83.2423|           -500|              0|
|              9|       -66.4392|           -500|              0|
|             10|       -52.9966|           -500|              0|
|             11|       -42.2426|           -500|              0|
|             12|       -33.6394|           -500|              0|
|             13|       -26.7568|           -500|              0|
|             14|       -21.2507|           -500|              0|
|             15|       -16.8459|           -500|              0|
|             16|        -13.322|           -500|              0|
|             17|       -10.5029|           -500|              0|
|             18|       -8.24761|           -500|              0|
|             19|       -6.44338|           -500|              0|
|             20|             -5|           -500|              0|
|             21|          -4.25|           -500|              0|
|             22|           -3.5|           -500|              0|
|             23|          -2.75|           -500|              0|
|             24|             -2|           -500|              0|
|             25|           -1.5|           -500|              0|
|             26|             -1|           -500|              0|
|             27|           -0.5|           -500|              0|
|             28|              0|           -500|              0|
|             29|            0.5|           -500|              0|
|             30|              1|           -500|              0|
|             31|            1.5|           -500|              0|
|             32|              2|           -500|              0|
|             33|           2.75|           -500|              0|
|             34|            3.5|           -500|              0|
|             35|           4.25|           -500|              0|
|             36|              5|           -500|              0|
|             37|        7.65148|           -500|              0|
|             38|        10.8333|           -500|              0|
|             39|        14.6514|           -500|              0|
|             40|        19.2332|           -500|              0|
|             41|        24.7313|           -500|              0|
|             42|         31.329|           -500|              0|
|             43|        39.2463|           -500|              0|
|             44|         48.747|           -500|              0|
|             45|        60.1479|           -500|              0|
|             46|         73.829|           -500|              0|
|             47|        90.2463|           -500|              0|
|             48|        109.947|           -500|              0|
|             49|        133.588|           -500|              0|
|             50|        161.957|           -500|              0|
|             51|            196|           -500|              0|
|             52|        236.851|           -500|              0|
|             53|        285.873|           -500|              0|
|             54|        344.699|           -500|              0|
|             55|         415.29|           -500|              0|
|             56|            500|           -500|              0|
|             57|           -500|       -399.845|              0|
|             58|       -399.845|       -399.845|              0|
|             59|       -319.722|       -399.845|              0|
|             60|       -255.623|       -399.845|              0|
|             61|       -204.343|       -399.845|              0|
|             62|        -163.32|       -399.845|              0|
|             63|       -130.501|       -399.845|              0|
|             64|       -104.246|       -399.845|              0|
|             65|       -83.2423|       -399.845|              0|
|             66|       -66.4392|       -399.845|              0|
|             67|       -52.9966|       -399.845|              0|
|             68|       -42.2426|       -399.845|              0|
|             69|       -33.6394|       -399.845|              0|
|             70|       -26.7568|       -399.845|              0|
|             71|       -21.2507|       -399.845|              0|
|             72|       -16.8459|       -399.845|              0|
|             73|        -13.322|       -399.845|              0|
|             74|       -10.5029|       -399.845|              0|
|             75|       -8.24761|       -399.845|              0|
|             76|       -6.44338|       -399.845|              0|
|             77|             -5|       -399.845|              0|
|             78|          -4.25|       -399.845|              0|
|             79|           -3.5|       -399.845|              0|
|             80|          -2.75|       -399.845|              0|
|             81|             -2|       -399.845|              0|
|             82|           -1.5|       -399.845|              0|
|             83|             -1|       -399.845|              0|
|             84|           -0.5|       -399.845|              0|
|             85|              0|       -399.845|              0|
|             86|            0.5|       -399.845|              0|
|             87|              1|       -399.845|              0|
|             88|            1.5|       -399.845|              0|
|             89|              2|       -399.845|              0|
|             90|           2.75|       -399.845|              0|
|             91|            3.5|       -399.845|              0|
|             92|           4.25|       -399.845|              0|
|             93|              5|       -399.845|              0|
|             94|        7.65148|       -399.845|              0|
|             95|        10.8333|       -399.845|              0|
|             96|        14.6514|       -399.845|              0|
|             97|        19.2332|       -399.845|              0|
|             98|        24.7313|       -399.845|              0|
|             99|         31.329|       -399.845|              0|
|            100|        39.2463|       -399.845|              0|
|            101|         48.747|       -399.845|              0|
|            102|        60.1479|       -399.845|              0|
|            103|         73.829|       -399.845|              0|
|            104|        90.2463|       -399.845|              0|
|            105|        109.947|       -399.845|              0|
|            106|        133.588|       -399.845|              0|
|            107|        161.957|       -399.845|              0|
|            108|            196|       -399.845|              0|
|            109|        236.851|       -399.845|              0|
|            110|        285.873|       -399.845|              0|
|            111|        344.699|       -399.845|              0|
